direction,ligand,receptor,sender,receiver,ligand_normal,ligand_disease,receptor_normal,receptor_disease,score_normal,score_disease,delta,delta_log2
lung->heart,SPP1,CD44,B cell,cardiac fibroblast,0.079774534640635,0.10480325059022438,0.08061427509685254,0.11118837651543813,0.006430966281243542,0.011652903286667682,0.00522193700542414,0.8574814947138866
lung->heart,SPP1,CD44,B cell,cardiac endothelial cell,0.079774534640635,0.10480325059022438,0.05269177351154757,0.047652590391443435,0.004203461711273445,0.004994146372067765,0.0007906846607943201,0.2486058467499974
lung->heart,SPP1,CD44,B cell,cardiac macrophage,0.079774534640635,0.10480325059022438,0.04461160058084864,0.00819171528700858,0.0035588696759110824,0.0008585183899881321,-0.0027003512859229504,-2.0502240136028136
lung->heart,SPP1,CD44,pulmonary alveolar type 1 cell,cardiac fibroblast,0.1641159054708863,0.14260736604519877,0.08061427509685254,0.11118837651543813,0.013230084751399076,0.01585628150970847,0.0026261967583093935,0.2612141181487352
lung->heart,SPP1,CD44,pulmonary alveolar type 1 cell,cardiac endothelial cell,0.1641159054708863,0.14260736604519877,0.05269177351154757,0.047652590391443435,0.008647558120714492,0.006795610400954496,-0.001851947719759996,-0.3476442018435657
lung->heart,SPP1,CD44,pulmonary alveolar type 1 cell,cardiac macrophage,0.1641159054708863,0.14260736604519877,0.04461160058084864,0.00819171528700858,0.007321473223831493,0.0011681989404724832,-0.006153274283359009,-2.6468105857077937
lung->heart,SPP1,CD44,club cell,cardiac fibroblast,0.11696707623079128,0.1277992757437628,0.08061427509685254,0.11118837651543813,0.00942921606054353,0.014209793989797796,0.004780577929254267,0.5916244328063188
lung->heart,SPP1,CD44,club cell,cardiac endothelial cell,0.11696707623079128,0.1277992757437628,0.05269177351154757,0.047652590391443435,0.006163202689060773,0.006089966539340661,-7.323614972011214e-05,-0.01724312179026532
lung->heart,SPP1,CD44,club cell,cardiac macrophage,0.11696707623079128,0.1277992757437628,0.04461160058084864,0.00819171528700858,0.005218088485917736,0.0010468952807788066,-0.004171193205138929,-2.316303310659864
lung->heart,SPP1,CD44,neutrophil,cardiac fibroblast,0.05767882335050758,0.003794435799531106,0.08061427509685254,0.11118837651543813,0.00464973653284058,0.0004218971563419221,-0.0042278393764986575,-3.4590804480954183
lung->heart,SPP1,CD44,neutrophil,cardiac endothelial cell,0.05767882335050758,0.003794435799531106,0.05269177351154757,0.047652590391443435,0.0030391994963975067,0.00018081469492168495,-0.0028583848014758217,-4.063625282523114
lung->heart,SPP1,CD44,neutrophil,cardiac macrophage,0.05767882335050758,0.003794435799531106,0.04461160058084864,0.00819171528700858,0.00257314462928617,3.1082937744591585e-05,-0.0025420616915415783,-6.326143052596798
lung->heart,SPP1,CD44,plasma cell,cardiac fibroblast,0.21958732589440794,0.13913282430369717,0.08061427509685254,0.11118837651543813,0.017701873097434012,0.015469952854335781,-0.002231920243098231,-0.19442146733114865
lung->heart,SPP1,CD44,plasma cell,cardiac endothelial cell,0.21958732589440794,0.13913282430369717,0.05269177351154757,0.047652590391443435,0.011570445642034528,0.006630039486548747,-0.004940406155485781,-0.8032621631586176
lung->heart,SPP1,CD44,plasma cell,cardiac macrophage,0.21958732589440794,0.13913282430369717,0.04461160058084864,0.00819171528700858,0.00979614207541797,0.001139736483773275,-0.008656405591644694,-3.102395402142637
lung->heart,SPP1,CD44,leukocyte,cardiac fibroblast,0.08252362220357777,0.056589197892322265,0.08061427509685254,0.11118837651543813,0.006652581982307947,0.006292061041958166,-0.00036052094034978114,-0.08036929341189236
lung->heart,SPP1,CD44,leukocyte,cardiac endothelial cell,0.08252362220357777,0.056589197892322265,0.05269177351154757,0.047652590391443435,0.004348316010503438,0.002696621867743167,-0.001651694142760271,-0.6891003988854495
lung->heart,SPP1,CD44,leukocyte,cardiac macrophage,0.08252362220357777,0.056589197892322265,0.04461160058084864,0.00819171528700858,0.0036815108722308637,0.00046356259745409004,-0.003217948274776774,-2.9867448740155242
lung->heart,SPP1,CD44,endothelial cell of lymphatic vessel,cardiac fibroblast,0.19625530289590504,0.3072792769504271,0.08061427509685254,0.11118837651543813,0.015820978976866608,0.034165883940955676,0.018344904964089068,1.1106686182367733
lung->heart,SPP1,CD44,endothelial cell of lymphatic vessel,cardiac endothelial cell,0.19625530289590504,0.3072792769504271,0.05269177351154757,0.047652590391443435,0.010341039970631195,0.014642653520297609,0.004301613549666414,0.5017547581520501
lung->heart,SPP1,CD44,endothelial cell of lymphatic vessel,cardiac macrophage,0.19625530289590504,0.3072792769504271,0.04461160058084864,0.00819171528700858,0.008755263184665582,0.0025171443503757573,-0.0062381188342898256,-1.7979543312382904
lung->heart,SPP1,ITGB1,"CD4-positive, alpha-beta T cell",cardiac fibroblast,0.0864112881401566,0.06953706246045237,0.0033796110976818923,0.0039300875846291295,0.00029203654836346094,0.00027328674584740415,-1.874980251605679e-05,-0.09539570335533716
lung->heart,SPP1,ITGB1,"CD4-positive, alpha-beta T cell",cardiac endothelial cell,0.0864112881401566,0.06953706246045237,0.005786397802698401,0.005008436613691961,0.0005000100878225405,0.00034827196963551445,-0.0001517381181870261,-0.5204887865552709
lung->heart,SPP1,ITGB1,natural killer cell,cardiac fibroblast,0.06457794926655704,0.051299214661830746,0.0033796110976818923,0.0039300875846291295,0.00021824835400679438,0.00020161040664368562,-1.663794736310876e-05,-0.11385773482760371
lung->heart,SPP1,ITGB1,natural killer cell,cardiac endothelial cell,0.06457794926655704,0.051299214661830746,0.005786397802698401,0.005008436613691961,0.0003736737037387745,0.00025692886496595657,-0.00011674483877281792,-0.5386614915031744
