year,age_name,cases,age,period,cohort,log_cases
1996,30-34 years,12639.60225061254,32.5,1996,1963.5,9.444669312975014
1997,30-34 years,12941.894930568316,32.5,1997,1964.5,9.468302262551829
1998,30-34 years,13128.48143737915,32.5,1998,1965.5,9.482615472029416
1999,30-34 years,13264.00547184808,32.5,1999,1966.5,9.492884679074438
2000,30-34 years,13409.873368254555,32.5,2000,1967.5,9.50382110228731
2001,30-34 years,13683.955248650134,32.5,2001,1968.5,9.524052351367141
2002,30-34 years,14090.790287373778,32.5,2002,1969.5,9.553347657670987
2003,30-34 years,14535.336140412106,32.5,2003,1970.5,9.584406734493014
2004,30-34 years,14906.071009698057,32.5,2004,1971.5,9.60959094377274
2005,30-34 years,15100.030950265322,32.5,2005,1972.5,9.622518295324403
2006,30-34 years,15090.70316775776,32.5,2006,1973.5,9.621900412706163
2007,30-34 years,14969.24442177697,32.5,2007,1974.5,9.613819804720395
2008,30-34 years,14832.643495738708,32.5,2008,1975.5,9.604653089092697
2009,30-34 years,14760.31670294332,32.5,2009,1976.5,9.599765301692194
2010,30-34 years,14791.059084012972,32.5,2010,1977.5,9.601845767381116
2011,30-34 years,14867.133492827676,32.5,2011,1978.5,9.606975509909772
2012,30-34 years,14940.339279356396,32.5,2012,1979.5,9.611887098534927
2013,30-34 years,15043.60260693251,32.5,2013,1980.5,9.618774575085025
2014,30-34 years,15205.725075158094,32.5,2014,1981.5,9.629493048142162
2015,30-34 years,15460.573741876116,32.5,2015,1982.5,9.646113111389957
2016,30-34 years,15756.060488202733,32.5,2016,1983.5,9.665043828769345
2017,30-34 years,16010.869904866366,32.5,2017,1984.5,9.681085595227245
2018,30-34 years,16232.573693973549,32.5,2018,1985.5,9.694836826903234
2019,30-34 years,16439.846275364598,32.5,2019,1986.5,9.707524143888982
2020,30-34 years,16597.75106663874,32.5,2020,1987.5,9.71708273456472
2021,30-34 years,17109.61281243608,32.5,2021,1988.5,9.747454182284374
1990,35-39 years,12173.592810410952,37.5,1990,1952.5,9.407106502661396
1991,35-39 years,12541.751713897824,37.5,1991,1953.5,9.436898225034673
1992,35-39 years,12817.038290920204,37.5,1992,1954.5,9.458608699336992
1993,35-39 years,12951.55427593526,37.5,1993,1955.5,9.469048289063121
1994,35-39 years,12993.774967334626,37.5,1994,1956.5,9.472302630060291
1995,35-39 years,13040.323750815092,37.5,1995,1957.5,9.475878344961442
1996,35-39 years,13171.836475591395,37.5,1996,1958.5,9.485912145548541
1997,35-39 years,13437.211143590324,37.5,1997,1959.5,9.50585750578338
1998,35-39 years,13880.938814674671,37.5,1998,1960.5,9.538343908360257
1999,35-39 years,14424.246694409803,37.5,1999,1961.5,9.576735193095562
2000,35-39 years,15013.096273683215,37.5,2000,1962.5,9.61674479037316
2001,35-39 years,15712.042214587264,37.5,2001,1963.5,9.662246360789162
2002,35-39 years,16524.988989471378,37.5,2002,1964.5,9.712689511006
2003,35-39 years,17281.735937289544,37.5,2003,1965.5,9.757463359529478
2004,35-39 years,17879.28617240685,37.5,2004,1966.5,9.791454053767593
2005,35-39 years,18215.7077423537,37.5,2005,1967.5,9.81009445977504
