disease,ligand,receptor,sender,receiver,mean_ligand,mean_receptor,score
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 2 cell,0.013310912996530533,0.0009738014778122306,1.2962186701770406e-05
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",vein endothelial cell,0.013310912996530533,0.01389493141323328,0.00018495421682018787
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",vein endothelial cell,0.013310912996530533,0.36070504784584045,0.004801313392817974
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",vein endothelial cell,0.013310912996530533,1.3018479347229004,0.017328783869743347
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",vein endothelial cell,0.013310912996530533,0.14101922512054443,0.0018770946189761162
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",vein endothelial cell,0.013310912996530533,0.00043039844604209065,5.728996256948449e-06
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",vein endothelial cell,0.013310912996530533,0.01011657528579235,0.00013466084783431143
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",lung multiciliated epithelial cell,0.013310912996530533,0.10350595414638519,0.001377758802846074
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",lung multiciliated epithelial cell,0.013310912996530533,0.09738852828741074,0.0012963302433490753
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",lung multiciliated epithelial cell,0.013310912996530533,0.18617400527000427,0.002478145994246006
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",lung multiciliated epithelial cell,0.013310912996530533,0.06405186653137207,0.0008525887969881296
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",lung multiciliated epithelial cell,0.013310912996530533,0.005472810938954353,7.284810999408364e-05
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",lung multiciliated epithelial cell,0.013310912996530533,0.02393346093595028,0.0003185762034263462
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",smooth muscle cell,0.013310912996530533,0.571965754032135,0.007613386493176222
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",smooth muscle cell,0.013310912996530533,0.08600547164678574,0.001144811394624412
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",smooth muscle cell,0.013310912996530533,0.44389525055885315,0.005908651277422905
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",smooth muscle cell,0.013310912996530533,0.016222920268774033,0.00021594188001472503
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",smooth muscle cell,0.013310912996530533,0.06872478872537613,0.0009147896780632436
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",smooth muscle cell,0.013310912996530533,0.0348949059844017,0.00046448304783552885
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",endothelial cell,0.013310912996530533,0.04382266476750374,0.0005833196919411421
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",endothelial cell,0.013310912996530533,0.28734296560287476,0.003824797226116061
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",endothelial cell,0.013310912996530533,1.3687506914138794,0.018219321966171265
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",endothelial cell,0.013310912996530533,0.01795002818107605,0.0002389312576269731
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",endothelial cell,0.013310912996530533,0.0,0.0
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",endothelial cell,0.013310912996530533,0.032519325613975525,0.0004328619106672704
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",B cell,0.013310912996530533,0.027416327968239784,0.0003649363643489778
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",B cell,0.013310912996530533,0.011772379279136658,0.00015670112043153495
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",B cell,0.013310912996530533,0.06915748119354248,0.0009205492096953094
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",B cell,0.013310912996530533,0.02003781497478485,0.0002667216176632792
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",B cell,0.013310912996530533,0.0,0.0
