year,cases_<5 years,cases_5-9 years,cases_10-14 years,cases_15-19 years,cases_20-24 years,cases_25-29 years,cases_30-34 years,cases_35-39 years,cases_40-44 years,cases_45-49 years,cases_50-54 years,cases_55-59 years,cases_60-64 years,cases_65-69 years,cases_70-74 years,cases_75-79 years,cases_80-84 years,cases_85-89 years,cases_90-94 years,cases_95+ years,pop_<5 years,pop_5-9 years,pop_10-14 years,pop_15-19 years,pop_20-24 years,pop_25-29 years,pop_30-34 years,pop_35-39 years,pop_40-44 years,pop_45-49 years,pop_50-54 years,pop_55-59 years,pop_60-64 years,pop_65-69 years,pop_70-74 years,pop_75-79 years,pop_80-84 years,pop_85-89 years,pop_90-94 years,pop_95+ years
2000,0.0,0.0,0.0,12681.874231942807,11781.71597699702,12859.490709706231,13409.873368254555,15013.096273683215,18969.64537151009,30329.599008978552,38374.08579279315,45640.75317478239,115527.22439059555,330138.7328353424,460143.2752939001,411468.4511113218,299091.7683385976,180745.8895067545,65664.30592482048,14461.559360069308,,,,568797031.6817412,511025169.8750226,498746841.9582733,479100562.27113837,434357127.34386015,367832476.5352233,328965815.6640802,261120565.45297182,205047563.96159363,186331084.89806893,152556163.5363015,119117958.29654127,78780507.23651133,42441236.310325146,21393631.515137706,7289775.757372668,1783051.2472170556
2001,0.0,0.0,0.0,12989.386036617749,11992.594189475498,13004.164002091848,13683.955248650134,15712.042214587264,19341.29610903934,31288.814344496022,40537.631618206186,47314.945793836254,116493.53477208049,333358.2800069404,468079.1567746272,421567.5853593152,309701.32676629786,185710.34499268263,68850.10634745487,15812.597549226815,,,,581845640.2072307,517477441.151541,498690155.03651047,484048274.791725,446650187.46441466,373029737.27081156,336668739.2449503,274031667.6058666,208212652.57132727,188427282.19335493,155246815.62117118,121875275.29173376,81571514.83573155,44470745.415605105,21642463.4626347,7587694.802784861,1908775.3605985015
2002,0.0,0.0,0.0,13330.642292203738,12264.24352965054,13200.900760280902,14090.790287373778,16524.988989471378,20200.21883800462,32503.198013268007,43037.36493859373,50529.55733865553,117563.54926754384,333298.71214786416,469103.3179788893,426896.9978331468,317648.455705266,189733.88887711475,71915.98407161697,17248.79440328468,,,,594977658.2672361,525370560.28348505,498458560.8857503,488475654.3766757,456967717.0572733,381555836.34328043,343198407.0492428,283378503.2895791,216437149.41569725,189847982.4258564,158572358.92297745,124003127.7204898,84433895.25510518,46774504.68042228,21811449.32848123,7869798.709781434,2040279.5617200958
2003,0.0,0.0,0.0,13663.726018469397,12571.663104976147,13418.912321748918,14535.336140412106,17281.735937289544,21518.72180644965,33521.67277416115,46201.45711842924,53979.74205275114,119156.51921331584,330894.4960482095,466447.74058398535,430794.5267664656,323998.4880943636,193232.09157233432,74783.96988236863,18627.43671313284,,,,606682487.871218,534767900.07476,499214349.2105645,492330593.8342729,464324074.9396375,394112706.9457389,347827312.2444483,293821954.0221894,225455625.82346505,191124736.38886648,161862223.55232668,125909710.72186992,87349135.19061956,49186603.50424106,21983310.844100635,8168146.509585186,2161712.6917678444
2004,0.0,0.0,0.0,13944.616165507165,12893.096116933128,13642.770188431256,14906.071009698057,17879.28617240685,23023.013438085087,34154.5550934302,48891.19754239437,58382.03744103082,120767.4997359524,328104.82231014525,465426.4741693202,435021.41610001336,330824.5341139843,196399.93278726612,77385.94636945533,19947.0426489464,,,,615883401.089956,545567776.6785779,502013547.767395,495268640.9842136,469954598.8525422,408650640.4219782,351170443.7584682,302366759.3222566,238113287.24000722,192695821.81058288,164893410.19645002,127788258.52736981,90234395.71864396,51522221.241397314,22433590.45602501,8453718.550805759,2285511.1997925616
2005,0.0,0.0,0.0,14126.566593361456,13205.735988971312,13847.997042969975,15100.030950265322,18215.7077423537,24343.503772344688,34408.30577395337,51759.19295587564,61170.36485760342,122341.0158105388,328451.0132326027,468398.0167694388,443116.3440965829,339757.27361346985,202886.52234986564,79964.26515683981,21220.509130481983,,,,621771808.0025357,557734426.9678317,507111038.2601166,497076511.2978246,474836584.5928808,423047279.85866314,354616769.8913778,314537878.76449424,248652274.04274264,194262612.63257098,167807679.71572953,130017106.0037189,92843236.31856607,53736705.485867284,23397800.376736067,8709327.030886367,2411777.632573601
2006,0.0,0.0,0.0,14170.195411614575,13479.910366909106,14001.137305001565,15090.70316775776,18274.36669858342,25157.02622982366,34502.27613060082,52694.89690386731,63962.49795144618,125103.24099688088,330896.12785850285,476584.47080445074,455367.0304224473,351408.6299192381,212683.69272980443,82677.82352994669,22497.976891690905,,,,623563669.3173239,571463490.6379604,513740008.4629375,497827475.25954556,480258553.3950168,435485535.7397022,360112452.4274238,322549284.38318616,261576302.5728498,197945087.26356277,170237090.26379776,132855790.51815437,95382227.06885827,55886655.89496075,24751547.21825251,8897652.142804295,2544617.2499343804
2007,0.0,0.0,0.0,14110.46800057635,13695.169082653414,14125.63680942922,14969.24442177697,18155.006819522965,25447.140198468984,34802.77706504334,52710.66745846114,65578.8460748574,129594.5233154589,334099.3804411886,486177.1027427227,468345.19748124847,365046.0645870468,223670.64547327903,85741.64480465197,23726.652411376454,,,,622269326.8976704,585423169.1908132,521732623.57651174,498283381.3565118,485131005.58105206,446052087.2979101,368877496.8518604,329390623.56030834,270959056.8786933,206519392.27408803,172127471.8903497,136266565.1689556,97547782.62731342,58153302.450928114,26292039.985430375,9071542.52285688,2680518.8946161605
2008,0.0,0.0,0.0,14002.44934501992,13856.809874440683,14261.306965265509,14832.643495738708,17959.609035499143,25299.31817678784,35525.32822190712,51921.1910613408,67319.27050353204,133260.10904056692,339151.78808241826,495144.52651480347,481059.3445777861,380205.08240223496,234744.17031206825,89115.90518697255,24977.79793312689,,,,619025735.9476471,598293158.3274956,531413324.0667505,499723960.36813897,489448370.42235047,453756648.9551666,381654489.9338466,334351164.60692203,281391129.4477943,215704290.96703425,173957865.83821818,139624353.97724405,99590938.83548513,60463967.627800584,27883274.743550606,9265862.805990716,2825094.536480917
2009,0.0,0.0,0.0,13891.365762942118,13967.917010596297,14430.663821521915,14760.31670294332,17757.98275878734,25007.893765349658,36477.08322871694,50924.47385134234,68391.69648745857,139457.50777442745,344279.5765325087,502874.8436945645,494920.4966146192,395288.9148541436,246315.47416554185,93034.76912662663,26434.31997835812,,,,614712394.4427642,608637694.7739997,542516841.1072168,503098567.7907005,492801485.5044997,459734673.342689,396380280.8310011,338025348.1544702,289990711.0362069,228261685.65307117,176048857.3215345,142728644.38363743,101661139.78342274,62740668.90671682,29443980.817996163,9604403.574029315,2978278.140732996
