cell_type,gene,mean_cardiomyopathy,mean_normal,pct_cardiomyopathy,pct_normal,log2FC_CM_vs_Normal,pvalue_CM,mean_DCM,log2FC_DCM_vs_Normal,pvalue_DCM,n_CM,n_normal,fdr_CM,fdr_DCM
endothelial cell,SERPINE1,0.13222534954547882,0.0973423570394516,0.05397973950795948,0.039238621863037004,0.4675034284591675,0.0015387574586222697,0.12795372307300568,0.41697853803634644,0.006158608935299846,96740,18808,0.004712444717030701,0.020118122521979497
endothelial cell,THBS1,0.012831257656216621,0.018210651353001595,0.006336572255530287,0.008188005104210975,-0.5090105533599854,0.6852926915668704,0.012399125844240189,-0.5587471127510071,0.6652893277350236,96740,18808,0.9594097681936186,0.9999421514164615
endothelial cell,SPP1,0.00394269498065114,0.007989108562469482,0.0019330163324374613,0.0038281582305401958,-1.021774172782898,0.6803547163929864,0.004022493492811918,-0.99280846118927,0.690762187878929,96740,18808,0.9594097681936186,0.9999421514164615
endothelial cell,S100A8,0.002773643471300602,0.007292764727026224,0.0013334711598097994,0.0032433007230965546,-1.3979456424713135,0.677935609593512,0.0029115586075931787,-1.3278367519378662,0.6945072700768993,96740,18808,0.9594097681936186,0.9999421514164615
endothelial cell,S100A12,0.00102220696862787,0.0009724776609800756,0.00048583832954310525,0.0003721820501914079,0.07198617607355118,0.9802871063166599,0.0009970071259886026,0.03595656156539917,0.9827624632028984,96740,18808,0.9999401219964956,0.9999421514164615
endothelial cell,IL1RL1,0.0,0.0,0.0,0.0,0.0,0.9999024014873794,0.0,0.0,0.9999421514164615,96740,18808,0.9999401219964956,0.9999421514164615
endothelial cell,F13A1,0.07756385952234268,0.06659939140081406,0.03729584453173455,0.029721395150999575,0.2278798669576645,0.11034067082540727,0.0804428830742836,0.2825641632080078,0.06436978889198205,96740,18808,0.23507360306282418,0.16600629766879582
endothelial cell,CD163,0.02045782282948494,0.010943599976599216,0.00989249534835642,0.004838366652488303,0.9094462394714355,0.2731316522976569,0.019971953704953194,0.8744173645973206,0.30435352155392903,96740,18808,0.4779803915208996,0.5523452798571306
endothelial cell,IL1R2,0.00268817157484591,0.002144227735698223,0.0012404382881951624,0.0009038706933219906,0.3265593647956848,0.941785433476796,0.00264504156075418,0.30319350957870483,0.9439330949773387,96740,18808,0.9999401219964956,0.9999421514164615
endothelial cell,AREG,0.012113075703382492,0.013043738901615143,0.005457928468058714,0.005157379838366652,-0.10746487230062485,0.9495751820114079,0.012034012004733086,-0.1169695258140564,0.9528808259388811,96740,18808,0.9999401219964956,0.9999421514164615
endothelial cell,SOCS3,0.09770168364048004,0.11337229609489441,0.047539797395079596,0.052530837941301575,-0.22611549496650696,0.24835715563616234,0.09701654314994812,-0.2367704063653946,0.2895800819974026,96740,18808,0.468057716391229,0.5457470776104895
endothelial cell,EGR1,0.07487758994102478,0.03722372278571129,0.03712011577424023,0.015950659293917483,1.0357269048690796,5.259648087811961e-06,0.06984106451272964,0.9315914511680603,6.494392311428766e-05,96740,18808,1.8408768307341864e-05,0.0002447886332769304
endothelial cell,CDKN1A,0.08714070916175842,0.05859659984707832,0.043642753772999796,0.024723521905572098,0.5933703780174255,6.232503304410511e-05,0.08318992704153061,0.5235419869422913,0.0003619251742758106,96740,18808,0.0002035951079440767,0.0012667381099653373
endothelial cell,LRP1,0.03198583424091339,0.05253990367054939,0.016177382675211908,0.023500638026371756,-0.7309115529060364,0.10575297287208785,0.0322662852704525,-0.7181136608123779,0.12447600765674406,96740,18808,0.23507360306282418,0.27724201705365725
endothelial cell,PLAUR,0.056701336055994034,0.0560172013938427,0.02794087244159603,0.025680561463207147,0.018010810017585754,0.6433735128494104,0.057139694690704346,0.0294407457113266,0.6060570321112329,96740,18808,0.9594097681936186,0.9579611152725938
endothelial cell,ITGAV,0.40269985795021057,0.29855045676231384,0.1904899731238371,0.1336665248830285,0.5112391710281372,1.1182286352513802e-30,0.401408314704895,0.5056108236312866,1.557593798749082e-29,96740,18808,9.132200521219605e-30,1.2720349356450837e-28
endothelial cell,ITGB3,0.0,0.0,0.0,0.0,0.0,0.9999024014873794,0.0,0.0,0.9999421514164615,96740,18808,0.9999401219964956,0.9999421514164615
endothelial cell,VTN,0.0003993649734184146,0.0005029257154092193,0.0002170767004341534,0.0002126754572522331,-0.33271148800849915,0.9993168104934343,0.0003678318462334573,-0.45139527320861816,0.9977439082463772,96740,18808,0.9999401219964956,0.9999421514164615
endothelial cell,PLAU,0.05893146991729736,0.07339546829462051,0.02896423402935704,0.03386856656741812,-0.327201247215271,0.26993230058919226,0.060854386538267136,-0.27947723865509033,0.3922183038563063,96740,18808,0.4779803915208996,0.6863820317485361
macrophage,SERPINE1,0.030641010031104088,0.05896550044417381,0.009067791598493958,0.017554194156456173,-0.9649916887283325,0.21070085236660185,0.030664170160889626,-0.9638845920562744,0.2189304650421975,50729,8488,0.4129736706385396,0.44698303279448653
macrophage,THBS1,0.2424512654542923,0.7174751162528992,0.05840840544856,0.17224316682375118,-1.9351718425750732,1.0337838431183356e-63,0.2580280601978302,-1.8336341381072998,8.813292404179333e-58,50729,8488,1.266385207819961e-62,8.637026556095746e-57
macrophage,SPP1,0.06050346419215202,0.10620024800300598,0.015277257584419168,0.02745051837888784,-0.845118522644043,0.07289065346002567,0.06422939151525497,-0.7561870813369751,0.10404692202326586,50729,8488,0.1785821009770629,0.24277615138762035
macrophage,S100A8,0.03687014803290367,0.22068016231060028,0.010506810699994085,0.05937794533459001,-2.716867208480835,4.719002653065249e-13,0.037270255386829376,-2.701005458831787,1.379658323921812e-12,50729,8488,1.9269260833349767e-12,6.7603257872168786e-12
macrophage,IL1R2,0.11963775008916855,0.1128440573811531,0.030455952216680793,0.02945334590009425,0.08933764696121216,0.876210732179523,0.11641399562358856,0.04755829647183418,0.999348527205479,50729,8488,0.9999401219964956,0.9999421514164615
macrophage,AREG,0.06733539700508118,0.057648684829473495,0.017465355122316624,0.014255419415645617,0.23113767802715302,0.6394519687865596,0.06528662145137787,0.18506567180156708,0.7176911235968001,50729,8488,0.9594097681936186,0.9999421514164615
macrophage,SOCS3,0.042318813502788544,0.15677504241466522,0.012754046009186067,0.04630065975494816,-1.9732571840286255,7.11247594356289e-07,0.04424542561173439,-1.9076282978057861,1.7619074541504504e-06,50729,8488,2.680856317189089e-06,7.194455437781006e-06
macrophage,EGR1,0.08440979570150375,0.04179735109210014,0.024364761773344634,0.012723845428840716,1.0450605154037476,0.08398667191481915,0.08696040511131287,1.0898751020431519,0.07714367559198598,50729,8488,0.19596890113457802,0.18900200520036564
macrophage,CDKN1A,0.08246704190969467,0.12424108386039734,0.02487728912456386,0.034519321394910464,-0.6219052076339722,0.14556981976645622,0.08086797595024109,-0.6513237953186035,0.1350819209240643,50729,8488,0.29720504868984815,0.28778322283822394
macrophage,PLAUR,0.29731565713882446,0.539379358291626,0.08468528849376096,0.1520970782280867,-1.0460535287857056,1.4405503838312293e-23,0.2918495535850525,-1.0769602060317993,1.2021325933742472e-23,50729,8488,8.82337110096628e-23,7.363062134417265e-23
macrophage,PLAU,0.11918018758296967,0.3802649974822998,0.034516745845571566,0.11074458058435438,-1.8700217008590698,2.4337258559975553e-29,0.1332065612077713,-1.699170470237732,1.1049708158421816e-25,50729,8488,1.7036080991982888e-28,7.734795710895272e-25
