disease,sender,receiver,receptor,score
Normal,endothelial cell of lymphatic vessel,fibroblast,LRP1,0.1751680225133896
COPD,endothelial cell of lymphatic vessel,fibroblast,PLAUR,0.06749189645051956
Normal,endothelial cell of lymphatic vessel,fibroblast,PLAUR,0.05803140252828598
COPD,endothelial cell of lymphatic vessel,leukocyte,LRP1,0.06568657606840134
Normal,endothelial cell of lymphatic vessel,leukocyte,LRP1,0.030319934710860252
COPD,endothelial cell of lymphatic vessel,leukocyte,PLAUR,0.08598172664642334
Normal,endothelial cell of lymphatic vessel,leukocyte,PLAUR,0.05661766231060028
COPD,endothelial cell of lymphatic vessel,lung multiciliated epithelial cell,LRP1,0.017173919826745987
Normal,endothelial cell of lymphatic vessel,lung multiciliated epithelial cell,LRP1,0.016419246792793274
COPD,endothelial cell of lymphatic vessel,lung multiciliated epithelial cell,PLAUR,0.010220365598797798
Normal,endothelial cell of lymphatic vessel,lung multiciliated epithelial cell,PLAUR,0.01544883381575346
COPD,endothelial cell of lymphatic vessel,macrophage,LRP1,0.16079384088516235
Normal,endothelial cell of lymphatic vessel,macrophage,LRP1,0.164278045296669
COPD,endothelial cell of lymphatic vessel,macrophage,PLAUR,0.20227503776550293
Normal,endothelial cell of lymphatic vessel,macrophage,PLAUR,0.22314463555812836
COPD,endothelial cell of lymphatic vessel,mast cell,LRP1,0.0029319748282432556
Normal,endothelial cell of lymphatic vessel,mast cell,LRP1,0.0022329078055918217
COPD,endothelial cell of lymphatic vessel,mast cell,PLAUR,0.09029169380664825
Normal,endothelial cell of lymphatic vessel,mast cell,PLAUR,0.10750491917133331
COPD,endothelial cell of lymphatic vessel,monocyte,LRP1,0.07508131861686707
Normal,endothelial cell of lymphatic vessel,monocyte,LRP1,0.07956048101186752
COPD,endothelial cell of lymphatic vessel,monocyte,PLAUR,0.2981274127960205
Normal,endothelial cell of lymphatic vessel,monocyte,PLAUR,0.30593419075012207
COPD,endothelial cell of lymphatic vessel,natural killer cell,LRP1,0.0014937031082808971
Normal,endothelial cell of lymphatic vessel,natural killer cell,LRP1,0.002412416972219944
COPD,endothelial cell of lymphatic vessel,natural killer cell,PLAUR,0.004979088436812162
Normal,endothelial cell of lymphatic vessel,natural killer cell,PLAUR,0.006167709827423096
COPD,endothelial cell of lymphatic vessel,neutrophil,LRP1,0.004389082547277212
Normal,endothelial cell of lymphatic vessel,neutrophil,LRP1,0.0022385416086763144
COPD,endothelial cell of lymphatic vessel,neutrophil,PLAUR,0.4056381583213806
Normal,endothelial cell of lymphatic vessel,neutrophil,PLAUR,0.3589097559452057
COPD,endothelial cell of lymphatic vessel,plasma cell,LRP1,0.002816295949742198
Normal,endothelial cell of lymphatic vessel,plasma cell,LRP1,0.0051747472025454044
COPD,endothelial cell of lymphatic vessel,plasma cell,PLAUR,0.018071569502353668
Normal,endothelial cell of lymphatic vessel,plasma cell,PLAUR,0.011211607605218887
COPD,endothelial cell of lymphatic vessel,pulmonary alveolar type 1 cell,LRP1,0.018307548016309738
Normal,endothelial cell of lymphatic vessel,pulmonary alveolar type 1 cell,LRP1,0.009318525902926922
COPD,endothelial cell of lymphatic vessel,pulmonary alveolar type 1 cell,PLAUR,0.020887276157736778
Normal,endothelial cell of lymphatic vessel,pulmonary alveolar type 1 cell,PLAUR,0.019620152190327644
COPD,endothelial cell of lymphatic vessel,pulmonary alveolar type 2 cell,LRP1,0.008043013513088226
Normal,endothelial cell of lymphatic vessel,pulmonary alveolar type 2 cell,LRP1,0.007899699732661247
COPD,endothelial cell of lymphatic vessel,pulmonary alveolar type 2 cell,PLAUR,0.01711486279964447
Normal,endothelial cell of lymphatic vessel,pulmonary alveolar type 2 cell,PLAUR,0.013501005247235298
COPD,endothelial cell of lymphatic vessel,smooth muscle cell,LRP1,0.07661208510398865
Normal,endothelial cell of lymphatic vessel,smooth muscle cell,LRP1,0.09073146432638168
COPD,endothelial cell of lymphatic vessel,smooth muscle cell,PLAUR,0.013402472250163555
Normal,endothelial cell of lymphatic vessel,smooth muscle cell,PLAUR,0.013643128797411919
COPD,endothelial cell of lymphatic vessel,vein endothelial cell,LRP1,0.0032652816735208035
Normal,endothelial cell of lymphatic vessel,vein endothelial cell,LRP1,0.0022041660267859697
COPD,endothelial cell of lymphatic vessel,vein endothelial cell,PLAUR,0.04593317583203316
Normal,endothelial cell of lymphatic vessel,vein endothelial cell,PLAUR,0.05721898004412651
COPD,fibroblast,B cell,LRP1,0.003082183189690113
Normal,fibroblast,B cell,LRP1,0.012857573106884956
COPD,fibroblast,B cell,PLAUR,0.01684383675456047
Normal,fibroblast,B cell,PLAUR,0.005520951934158802
COPD,fibroblast,"CD4-positive, alpha-beta T cell",LRP1,0.007003903854638338
Normal,fibroblast,"CD4-positive, alpha-beta T cell",LRP1,0.007020852062851191
COPD,fibroblast,"CD4-positive, alpha-beta T cell",PLAUR,0.04965977370738983
Normal,fibroblast,"CD4-positive, alpha-beta T cell",PLAUR,0.032260410487651825
COPD,fibroblast,"CD8-positive, alpha-beta T cell",LRP1,0.012998736463487148
Normal,fibroblast,"CD8-positive, alpha-beta T cell",LRP1,0.008893700316548347
COPD,fibroblast,"CD8-positive, alpha-beta T cell",PLAUR,0.042674776166677475
Normal,fibroblast,"CD8-positive, alpha-beta T cell",PLAUR,0.025408804416656494
COPD,fibroblast,capillary endothelial cell,LRP1,0.015602733939886093
Normal,fibroblast,capillary endothelial cell,LRP1,0.01914219930768013
COPD,fibroblast,capillary endothelial cell,PLAUR,0.10196555405855179
Normal,fibroblast,capillary endothelial cell,PLAUR,0.07075311988592148
COPD,fibroblast,club cell,LRP1,0.07944071292877197
Normal,fibroblast,club cell,LRP1,0.040479786694049835
COPD,fibroblast,club cell,PLAUR,0.06928692013025284
Normal,fibroblast,club cell,PLAUR,0.05604684352874756
COPD,fibroblast,conventional dendritic cell,LRP1,0.42862674593925476
Normal,fibroblast,conventional dendritic cell,LRP1,0.30225870013237
COPD,fibroblast,conventional dendritic cell,PLAUR,0.9891095161437988
Normal,fibroblast,conventional dendritic cell,PLAUR,0.6076920628547668
COPD,fibroblast,endothelial cell,LRP1,0.009428669698536396
Normal,fibroblast,endothelial cell,LRP1,0.020551735535264015
COPD,fibroblast,endothelial cell,PLAUR,0.2214762270450592
Normal,fibroblast,endothelial cell,PLAUR,0.1347566843032837
COPD,fibroblast,endothelial cell of lymphatic vessel,LRP1,0.00986690167337656
Normal,fibroblast,endothelial cell of lymphatic vessel,LRP1,0.009419691748917103
COPD,fibroblast,endothelial cell of lymphatic vessel,PLAUR,0.07175376266241074
Normal,fibroblast,endothelial cell of lymphatic vessel,PLAUR,0.043695442378520966
COPD,fibroblast,fibroblast,LRP1,0.6896647810935974
Normal,fibroblast,fibroblast,LRP1,0.5178651213645935
COPD,fibroblast,fibroblast,PLAUR,0.31397581100463867
Normal,fibroblast,fibroblast,PLAUR,0.1715635061264038
COPD,fibroblast,leukocyte,LRP1,0.3055773675441742
Normal,fibroblast,leukocyte,LRP1,0.08963757008314133
COPD,fibroblast,leukocyte,PLAUR,0.3999914526939392
Normal,fibroblast,leukocyte,PLAUR,0.16738392412662506
COPD,fibroblast,lung multiciliated epithelial cell,LRP1,0.07989396899938583
Normal,fibroblast,lung multiciliated epithelial cell,LRP1,0.048541709780693054
COPD,fibroblast,lung multiciliated epithelial cell,PLAUR,0.047545671463012695
Normal,fibroblast,lung multiciliated epithelial cell,PLAUR,0.045672789216041565
COPD,fibroblast,macrophage,LRP1,0.7480213046073914
Normal,fibroblast,macrophage,LRP1,0.4856700897216797
COPD,fibroblast,macrophage,PLAUR,0.9409940242767334
Normal,fibroblast,macrophage,PLAUR,0.659702718257904
COPD,fibroblast,mast cell,LRP1,0.01363969873636961
Normal,fibroblast,mast cell,LRP1,0.006601347588002682
COPD,fibroblast,mast cell,PLAUR,0.42004165053367615
Normal,fibroblast,mast cell,PLAUR,0.3178265690803528
COPD,fibroblast,monocyte,LRP1,0.3492822051048279
Normal,fibroblast,monocyte,LRP1,0.23521186411380768
COPD,fibroblast,monocyte,PLAUR,1.386904239654541
Normal,fibroblast,monocyte,PLAUR,0.9044609665870667
COPD,fibroblast,natural killer cell,LRP1,0.006948784459382296
Normal,fibroblast,natural killer cell,LRP1,0.007132047321647406
COPD,fibroblast,natural killer cell,PLAUR,0.023162977769970894
Normal,fibroblast,natural killer cell,PLAUR,0.018234161660075188
COPD,fibroblast,neutrophil,LRP1,0.020418239757418633
Normal,fibroblast,neutrophil,LRP1,0.006618003826588392
COPD,fibroblast,neutrophil,PLAUR,1.887049674987793
Normal,fibroblast,neutrophil,PLAUR,1.0610774755477905
COPD,fibroblast,plasma cell,LRP1,0.013101554475724697
Normal,fibroblast,plasma cell,LRP1,0.015298574231564999
COPD,fibroblast,plasma cell,PLAUR,0.0840698778629303
Normal,fibroblast,plasma cell,PLAUR,0.03314589336514473
COPD,fibroblast,pulmonary alveolar type 1 cell,LRP1,0.08516766875982285
Normal,fibroblast,pulmonary alveolar type 1 cell,LRP1,0.027549205347895622
COPD,fibroblast,pulmonary alveolar type 1 cell,PLAUR,0.0971686914563179
Normal,fibroblast,pulmonary alveolar type 1 cell,PLAUR,0.05800483748316765
COPD,fibroblast,pulmonary alveolar type 2 cell,LRP1,0.03741651400923729
Normal,fibroblast,pulmonary alveolar type 2 cell,LRP1,0.023354599252343178
COPD,fibroblast,pulmonary alveolar type 2 cell,PLAUR,0.07961922883987427
Normal,fibroblast,pulmonary alveolar type 2 cell,PLAUR,0.039914246648550034
COPD,fibroblast,smooth muscle cell,LRP1,0.3564033806324005
Normal,fibroblast,smooth muscle cell,LRP1,0.2682376503944397
COPD,fibroblast,smooth muscle cell,PLAUR,0.062348995357751846
Normal,fibroblast,smooth muscle cell,PLAUR,0.040334418416023254
COPD,fibroblast,vein endothelial cell,LRP1,0.01519025955349207
Normal,fibroblast,vein endothelial cell,LRP1,0.006516376044601202
COPD,fibroblast,vein endothelial cell,PLAUR,0.21368351578712463
Normal,fibroblast,vein endothelial cell,PLAUR,0.16916166245937347
COPD,vein endothelial cell,B cell,LRP1,0.0030151866376399994
Normal,vein endothelial cell,B cell,LRP1,0.01895732246339321
COPD,vein endothelial cell,B cell,PLAUR,0.016477705910801888
Normal,vein endothelial cell,B cell,PLAUR,0.008140141144394875
COPD,vein endothelial cell,"CD4-positive, alpha-beta T cell",LRP1,0.006851661950349808
Normal,vein endothelial cell,"CD4-positive, alpha-beta T cell",LRP1,0.010351607576012611
COPD,vein endothelial cell,"CD4-positive, alpha-beta T cell",PLAUR,0.04858033359050751
Normal,vein endothelial cell,"CD4-positive, alpha-beta T cell",PLAUR,0.0475650392472744
COPD,vein endothelial cell,"CD8-positive, alpha-beta T cell",LRP1,0.012716186232864857
Normal,vein endothelial cell,"CD8-positive, alpha-beta T cell",LRP1,0.013112952001392841
COPD,vein endothelial cell,"CD8-positive, alpha-beta T cell",PLAUR,0.04174716770648956
Normal,vein endothelial cell,"CD8-positive, alpha-beta T cell",PLAUR,0.03746296837925911
COPD,vein endothelial cell,capillary endothelial cell,LRP1,0.015263581648468971
Normal,vein endothelial cell,capillary endothelial cell,LRP1,0.0282234326004982
COPD,vein endothelial cell,capillary endothelial cell,PLAUR,0.09974915534257889
Normal,vein endothelial cell,capillary endothelial cell,PLAUR,0.10431904345750809
COPD,vein endothelial cell,club cell,LRP1,0.07771393656730652
Normal,vein endothelial cell,club cell,LRP1,0.05968376249074936
COPD,vein endothelial cell,club cell,PLAUR,0.06778085231781006
Normal,vein endothelial cell,club cell,PLAUR,0.08263597637414932
COPD,vein endothelial cell,conventional dendritic cell,LRP1,0.4193097949028015
Normal,vein endothelial cell,conventional dendritic cell,LRP1,0.44565296173095703
COPD,vein endothelial cell,conventional dendritic cell,PLAUR,0.9676095247268677
Normal,vein endothelial cell,conventional dendritic cell,PLAUR,0.8959866762161255
COPD,vein endothelial cell,endothelial cell,LRP1,0.00922372192144394
Normal,vein endothelial cell,endothelial cell,LRP1,0.030301664024591446
COPD,vein endothelial cell,endothelial cell,PLAUR,0.21666206419467926
Normal,vein endothelial cell,endothelial cell,PLAUR,0.19868646562099457
COPD,vein endothelial cell,endothelial cell of lymphatic vessel,LRP1,0.009652427397668362
Normal,vein endothelial cell,endothelial cell of lymphatic vessel,LRP1,0.01388847827911377
COPD,vein endothelial cell,endothelial cell of lymphatic vessel,PLAUR,0.0701940730214119
Normal,vein endothelial cell,endothelial cell of lymphatic vessel,PLAUR,0.06442495435476303
COPD,vein endothelial cell,fibroblast,LRP1,0.6746737360954285
Normal,vein endothelial cell,fibroblast,LRP1,0.7635449767112732
