location_name,ASPR_1990,ASPR_2021,cases_1990,cases_2021
Kuwait,3.94830168541,3.22821246815,21.24854452868886,77.87364387082646
Kyrgyzstan,43.60816663968,13.51322208567,1205.1844520043248,546.685485339422
Lao People's Democratic Republic,25.067171100210004,23.58747827966,376.8916036576047,827.3760135644675
Latvia,4.835292523030001,4.31799872598,172.94336885221665,191.0131271593598
Lebanon,18.42922972396,25.82618341796,357.61049907602813,1641.0622103388291
Lesotho,83.80412152598,65.84572136445,645.9075624247686,615.1269650656428
Liberia,38.57117267539,33.10341441063,415.19304123432505,682.1333917472102
Libya,14.45075296769,11.91760204633,263.08467709324503,565.9583194629488
Lithuania,11.9365956175,5.93345629382,532.9377825353038,359.38709630701464
Luxembourg,15.11101630213,29.454563596230003,82.46920198082812,323.2538160067245
Madagascar,51.11404279833,39.71286637948,2332.4268479414254,3824.2378971513135
Malawi,55.09142012086,43.18381550794,1870.474307779408,2888.718418835143
Malaysia,26.836789916550003,24.87817514649,2095.0744312633874,5935.591712445228
Maldives,47.19722659149,37.58414284924,28.49600966150367,101.6153430237938
Mali,57.26333677279,47.46217684698,1990.7202140920024,3932.9204019505264
Malta,10.57799092809,11.57620286713,43.40957073858736,127.59810372404831
Marshall Islands,33.2837598664,26.30041003753,4.166506552152673,5.380639228495839
Mauritania,37.99800406436,28.77319523071,356.99269762253675,598.3207663635457
Mauritius,12.74331240733,11.16043245892,71.64651837087582,185.54109156506803
Mexico,36.21623611008,31.74613734564,13035.05458192738,36255.42566732063
Micronesia (Federated States of),34.97260403354,24.19571465198,13.62630054228561,11.517023801813538
Monaco,10.55916377539,16.42974437611,8.399265349197991,18.231913556092792
Mongolia,13.13102759607,9.7945013317,129.46790202229698,167.02083336643304
Montenegro,3.33967326073,4.30497947987,19.407481123045365,41.92208752646821
Morocco,8.70108019104,9.7665794572,1188.64138483415,3029.100148663348
Mozambique,57.43410881569,42.7153446989,3000.2758757018964,4234.325830227271
Myanmar,46.76820255521,48.62528546855,7771.340522889512,18955.60265999884
Namibia,64.8513779236,52.7332817874,369.80359980713513,647.7374489710493
Nauru,28.20718584868,20.33463115213,0.7762859612939679,0.7702964218773748
Nepal,81.27890796535999,72.99301450845999,5434.609577572417,14038.757960881112
Netherlands,22.42828070135,48.934408798,4697.464791183137,18547.8924275844
New Zealand,28.74186334164,30.43816106599,1164.308298954187,2767.9899578675168
Nicaragua,18.56976004116,21.57401953091,251.5180523198404,938.6871451494954
Niger,54.99528695874,51.98912609974,1369.1731550869797,3999.5539279779855
Nigeria,46.36035054978,33.47795872602,19052.714572763634,29354.66053414455
Niue,28.6892148145,21.3170048618,0.7006968238761812,0.4251927544631407
North Macedonia,9.13872930059,7.50617560349,152.26095824323508,239.5700358779605
Northern Mariana Islands,54.0655186166,36.30246775796,5.651309703398434,12.75817478199567
Norway,12.19501506689,37.4813650446,888.359571137649,4069.942408995272
Oman,8.44119677597,6.73894465948,59.93650339683693,121.73977307328974
Pakistan,44.26799392703,39.60409267129,20026.438551851825,34268.65359081664
Palau,40.35066630243,38.30427734408,3.095108003665965,5.689427070360611
Palestine,10.23453701909,9.1025705232,86.03066503580746,214.7833666665805
Panama,21.74529251109,24.92998024786,298.3960231688362,1126.8966122908032
Papua New Guinea,92.32828760838,83.09089298606,1013.079961679203,2611.2315530086144
Paraguay,14.4423783126,16.49698192048,293.8382940852707,887.7711790035235
Peru,16.13836614065,18.71033177843,1786.0992401227672,6201.61965278499
Philippines,21.0356097461,17.66021891842,4496.291775155083,11344.434816714149
Poland,16.4328694284,16.45054562983,6991.522094219642,12593.034043621674
Portugal,19.91664562216,24.6844796999,2707.087327738562,7264.51518725523
Puerto Rico,21.67081036056,26.64242803108,776.3999185860075,2296.023698324309
Qatar,10.82528217675,13.20833401686,12.958567263172164,124.6504288428662
Republic of Korea,14.45841752954,18.44803024906,3011.5930305406687,16973.702894200618
Republic of Moldova,15.97955883105,5.3671945253,653.3734095639586,308.33401105159544
Romania,14.12215000675,6.88241526784,3665.576529371757,2604.174146580004
Russian Federation,11.70022218001,7.69690979047,19468.33922395284,18718.67811327344
Rwanda,61.62170686835,55.21326406327,1506.8860132253662,3060.1733249919403
Saint Kitts and Nevis,6.96378381215,10.26337698525,2.810600200689544,5.731211137077552
Saint Lucia,14.12968242123,18.09658416263,12.109295697848784,41.82271428917246
Saint Vincent and the Grenadines,4.5493999588,6.35838496624,3.2393605637156195,8.61929380014949
Samoa,39.85709831844,31.767716787900003,27.197576405819824,37.272226680645886
San Marino,12.38133574054,14.49253537649,4.634598816265315,12.72120130980255
Sao Tome and Principe,35.35582167883,24.6441122442,21.62492161643058,25.89371699415816
Saudi Arabia,13.51456378602,11.32739390974,721.6229654516501,1816.216996083671
Senegal,36.38082464527,27.75756634268,1102.283527545792,2058.301887086216
Serbia,7.523146111099999,7.33953551516,782.3105039364325,1262.0631192001729
Seychelles,10.31345018631,10.97911015767,5.8786298266320935,10.791092775744252
Sierra Leone,48.02211180875,38.13543366436,940.0278182789076,1390.5388908557832
Singapore,12.4847926128,7.86136150074,215.4172683078639,643.0214421770659
Slovakia,5.4953150096000005,6.892338233199999,322.1699803741283,672.389218479196
Slovenia,10.75116219845,13.03359270226,259.5782624084235,615.6900818839999
Solomon Islands,31.45885423486,25.77962200051,26.435520093641124,59.3206016748051
Somalia,71.51062430173,74.13996330406,1465.274970299438,3987.230462164018
South Africa,80.68350653828,67.67351620152,16111.611795833958,28563.289703727456
South Sudan,51.96211697599,43.09157765623,1234.54363729413,1467.3821667266589
Spain,27.11186770233,33.12337193426,15097.875163664876,38048.463213576506
Sri Lanka,35.637063019210004,38.24729531522,2993.600298564398,9240.205848505031
Sudan,12.16194074659,10.58872582612,1051.8381613473405,2041.3476152970848
Suriname,12.83522773112,13.89860676365,28.85248441505948,80.4244610271984
Sweden,19.52985443289,38.565172646810005,3166.546685633004,9464.930739138988
