cell_type,gene,mean_COPD,mean_Normal,pct_COPD,pct_Normal,log2FC_COPD_vs_Normal,wilcoxon_stat,pvalue,n_COPD,n_Normal,fdr
capillary endothelial cell,CDKN1A,0.4125726819038391,0.4263637363910675,0.2640562248995984,0.28857077936832537,-0.05807802081108093,-1.2620770149529976,0.20692107515001645,1992,4401,0.6271852663300052
club cell,CDKN1A,0.16812920570373535,0.16381162405014038,0.2683544303797468,0.2835820895522388,0.04073318839073181,-0.16285499679009854,0.870632605044912,395,134,1.0
conventional dendritic cell,CDKN1A,0.7942431569099426,0.6896651983261108,0.7659010600706714,0.7362768496420048,0.2883652448654175,4.144054444107341,3.412186779890539e-05,1132,1676,0.0002911021846594116
endothelial cell,CDKN1A,0.917710542678833,0.8712296485900879,0.6061538461538462,0.5689948892674617,0.11344793438911438,0.7434716653844313,0.45719616996304535,325,587,1.0
endothelial cell of lymphatic vessel,CDKN1A,0.789042055606842,0.7176221013069153,0.5196850393700787,0.45985401459854014,0.1948043256998062,0.6816041959573677,0.49548926103503554,127,137,1.0
fibroblast,CDKN1A,0.45235830545425415,0.4244098961353302,0.3184885290148448,0.31828145550197284,0.11363662034273148,0.28747557093145515,0.7737482044484173,741,2281,1.0
leukocyte,CDKN1A,0.3550190329551697,0.299299031496048,0.4810810810810811,0.42408376963350786,0.2886897921562195,0.9258586189342319,0.3545194589038685,185,191,0.9006425036058635
lung multiciliated epithelial cell,CDKN1A,0.2976112365722656,0.17071115970611572,0.3236607142857143,0.2030360531309298,0.8969795107841492,4.660375018386026,3.1563377084153517e-06,896,1054,3.077429265704968e-05
macrophage,CDKN1A,0.3249633014202118,0.3096562325954437,0.497002997002997,0.5574989068648885,0.08123408257961273,-1.4580471661091339,0.14482754277526397,2002,2287,0.46515199032525956
mast cell,CDKN1A,0.27766990661621094,0.37902572751045227,0.24727577535624476,0.33114754098360655,-0.5260313153266907,-3.668757037261003,0.00024373256938618276,1193,1220,0.0017061279857032794
monocyte,CDKN1A,0.9822993278503418,0.7328832149505615,0.793398533007335,0.6959195081050866,0.6278947591781616,11.06195096426884,1.9187784237283362e-28,1636,1789,1.0476530193556716e-26
natural killer cell,CDKN1A,0.10830201208591461,0.08335497975349426,0.10641399416909621,0.08170452544462053,0.39600250124931335,1.8042377608209603,0.07119404206930571,2744,5679,0.262648290336763
neutrophil,CDKN1A,0.10321100801229477,0.07845143228769302,0.06097560975609756,0.04201680672268908,0.4138556718826294,0.33899758517563827,0.7346115493236789,164,357,1.0
plasma cell,CDKN1A,0.33523184061050415,0.4521002471446991,0.5810055865921788,0.5980861244019139,-0.5213028192520142,-1.9446177364741282,0.051821003005852066,179,209,0.21435051243329717
