cell_type,gene,mean_COPD,mean_Normal,pct_COPD,pct_Normal,log2FC_COPD_vs_Normal,wilcoxon_stat,pvalue,n_COPD,n_Normal,fdr
capillary endothelial cell,S100A12,0.003850985085591674,0.0032383936922997236,0.0035140562248995983,0.003181095205635083,0.2503910958766937,0.021398327519824237,0.9829279077071001,1992,4401,1.0
club cell,S100A12,0.01793370395898819,0.002696195850148797,0.010126582278481013,0.007462686567164179,2.7446863651275635,0.04741761954731785,0.9621803864469614,395,134,1.0
conventional dendritic cell,S100A12,0.11370881646871567,0.018872976303100586,0.12190812720848057,0.032219570405727926,2.6601154804229736,4.105926761131092,4.0269706711981704e-05,1132,1676,0.00033314030098093955
endothelial cell,S100A12,0.004907828755676746,0.005006416700780392,0.006153846153846154,0.0068143100511073255,-0.028764497488737106,-0.01627369576481368,0.9870160425016938,325,587,1.0
endothelial cell of lymphatic vessel,S100A12,0.007377209607511759,0.017753487452864647,0.007874015748031496,0.0072992700729927005,-1.2744559049606323,0.007259689661084388,0.9942076565823151,127,137,1.0
fibroblast,S100A12,0.006886529736220837,0.0026974778156727552,0.008097165991902834,0.003068829460762823,1.3551900386810303,0.20593854326925465,0.8368389175133575,741,2281,1.0
leukocyte,S100A12,0.009099505841732025,0.00916074588894844,0.016216216216216217,0.010471204188481676,-0.009720802307128906,0.09443663001943217,0.924762319264261,185,191,1.0
lung multiciliated epithelial cell,S100A12,0.00035451390431262553,0.009800155647099018,0.0011160714285714285,0.0056925996204933585,-4.795705795288086,-0.17455978466200225,0.8614255505099315,896,1054,1.0
macrophage,S100A12,0.0035017651971429586,0.0028886774089187384,0.007992007992007992,0.006558810668998688,0.2781156301498413,0.08136857018335922,0.9351488435663395,2002,2287,1.0
mast cell,S100A12,0.0005936556844972074,0.0016530797583982348,0.0008382229673093043,0.001639344262295082,-1.4782207012176514,-0.034129875188333623,0.9727735854018452,1193,1220,1.0
monocyte,S100A12,1.1281087398529053,0.7407239079475403,0.6356968215158925,0.45500279485746226,0.9292102456092834,10.625098593463399,2.2777136010781988e-26,1636,1789,1.0363596884905805e-24
natural killer cell,S100A12,0.0032803534995764494,0.0020935889333486557,0.004373177842565598,0.0021130480718436345,0.6487292051315308,0.1679963843365681,0.8665861235361825,2744,5679,1.0
neutrophil,S100A12,0.33822116255760193,0.6404213905334473,0.13414634146341464,0.24089635854341737,-1.156746745109558,-2.0853677698050355,0.03703593011061268,164,357,0.16048903047932161
plasma cell,S100A12,0.0018854329828172922,0.003158046631142497,0.00558659217877095,0.009569377990430622,-0.7450547218322754,-0.06674265871157993,0.9467865732633259,179,209,1.0
pulmonary alveolar type 1 cell,S100A12,0.019872847944498062,0.0,0.0136986301369863,0.0,24.25865364074707,0.27279457955769704,0.7850111264814004,219,335,1.0
pulmonary alveolar type 2 cell,S100A12,0.000680681667290628,0.0002086948079522699,0.0023584905660377358,0.0007716049382716049,1.7059211730957031,0.062214703081139196,0.9503918538069821,848,1296,1.0
smooth muscle cell,S100A12,0.0,0.006190632935613394,0.0,0.005980861244019139,-22.566123962402344,-0.17620749258355542,0.8601309346588203,443,836,1.0
vein endothelial cell,S100A12,0.0013591260649263859,0.0021984968334436417,0.0012062726176115801,0.003372681281618887,-0.6944433450698853,-0.08271018912259938,0.9340819828872037,829,1186,1.0
B cell,S100A8,0.06589091569185257,0.049205344170331955,0.08115942028985507,0.05994550408719346,0.4334162175655365,0.4692257372374383,0.63890829070708,345,367,1.0
"CD4-positive, alpha-beta T cell",S100A8,0.06067078188061714,0.0293460413813591,0.06257463577740625,0.030509891334633603,1.070601463317871,2.853924688642419,0.00431827669468698,4187,7178,0.024560198701032196
"CD8-positive, alpha-beta T cell",S100A8,0.053948041051626205,0.04367310181260109,0.04424202992843201,0.031550596383224314,0.3122977614402771,0.6650883478129801,0.505993986996659,1537,2599,1.0
capillary endothelial cell,S100A8,0.06450988352298737,0.04537832364439964,0.04919678714859438,0.03749147920927062,0.5214437246322632,0.7571423264928988,0.44896459831971613,1992,4401,1.0
club cell,S100A8,0.17219500243663788,0.020794497802853584,0.11645569620253164,0.05970149253731343,3.1607377529144287,1.0464578106994284,0.29534971378623953,395,134,0.8063047186364339
conventional dendritic cell,S100A8,0.878013551235199,0.5777754783630371,0.46113074204946997,0.3496420047732697,0.8463456630706787,5.8348166993988295,5.384973351788412e-09,1132,1676,7.350488625191183e-08
endothelial cell,S100A8,0.07700139284133911,0.050672709941864014,0.08,0.06303236797274275,0.6228698492050171,0.4389960672040464,0.6606643859877923,325,587,1.0
endothelial cell of lymphatic vessel,S100A8,0.06069356948137283,0.04147160425782204,0.07086614173228346,0.043795620437956206,0.5634035468101501,0.37508396582269343,0.7075980213999844,127,137,1.0
fibroblast,S100A8,0.14394322037696838,0.06797020882368088,0.08502024291497975,0.053485313459009205,1.1382958889007568,1.3346145457968324,0.1820025348231794,741,2281,0.5646215000764543
leukocyte,S100A8,0.684298038482666,0.22807875275611877,0.4864864864864865,0.2094240837696335,1.9390991926193237,5.049275092496273,4.4348972027641634e-07,185,191,4.484173838350432e-06
lung multiciliated epithelial cell,S100A8,0.15206000208854675,0.1618548333644867,0.09151785714285714,0.07495256166982922,-0.09730968624353409,0.5553954868441514,0.5786241788921986,896,1054,1.0
macrophage,S100A8,1.5119361877441406,1.3167387247085571,0.9225774225774226,0.915172715347617,0.37236347794532776,7.3427348715752725,2.0927282878179145e-13,2002,2287,3.8087654838286044e-12
mast cell,S100A8,0.06154342740774155,0.028085870668292046,0.05951383067896061,0.031967213114754096,1.1560750007629395,1.1792339410106092,0.23830503439109296,1193,1220,0.6923321183074193
monocyte,S100A8,3.009920835494995,2.090243339538574,0.9003667481662592,0.7870318613750699,1.4443154335021973,15.516146583655173,2.697724583749035e-54,1636,1789,1.8411970284087162e-52
natural killer cell,S100A8,0.049891915172338486,0.03387649357318878,0.05357142857142857,0.03433703116745906,0.5701548457145691,1.4175716760597352,0.15631585434829595,2744,5679,0.49621195624517206
neutrophil,S100A8,1.4569623470306396,3.0274341106414795,0.4329268292682927,0.7226890756302521,-2.5766727924346924,-7.412517437773037,1.239241548226015e-13,164,357,2.4165210190407292e-12
plasma cell,S100A8,0.040678057819604874,0.043751899152994156,0.09497206703910614,0.06698564593301436,-0.10732767730951309,0.4508534700721012,0.6520951608654474,179,209,1.0
pulmonary alveolar type 1 cell,S100A8,0.058156199753284454,0.04504364728927612,0.0410958904109589,0.041791044776119404,0.3781491816043854,-0.010586058311194215,0.9915537052691837,219,335,1.0
pulmonary alveolar type 2 cell,S100A8,0.03031727485358715,0.02104838378727436,0.054245283018867926,0.047839506172839504,0.5331453084945679,0.2704056475659605,0.7868481957572911,848,1296,1.0
smooth muscle cell,S100A8,0.05066407099366188,0.04954681172966957,0.040632054176072234,0.04066985645933014,0.03298332914710045,0.004614011092481361,0.9963185648483465,443,836,1.0
vein endothelial cell,S100A8,0.045526519417762756,0.041881393641233444,0.05669481302774427,0.04468802698145025,0.12304642051458359,0.4403169898822106,0.6597075371476762,829,1186,1.0
B cell,SERPINE1,0.004073793068528175,0.0437939390540123,0.002898550724637681,0.02997275204359673,-3.455052614212036,-0.6254520219353733,0.5316744280982606,345,367,1.0
"CD4-positive, alpha-beta T cell",SERPINE1,0.014744389802217484,0.013310912996530533,0.013613565798901361,0.012677626079687936,0.14859311282634735,0.08262212554500041,0.9341520077825471,4187,7178,1.0
"CD8-positive, alpha-beta T cell",SERPINE1,0.0162291768938303,0.020963314920663834,0.008458035133376708,0.013081954597922277,-0.3727024495601654,-0.24819383860508695,0.8039844333213809,1537,2599,1.0
capillary endothelial cell,SERPINE1,1.039573311805725,1.2754091024398804,0.4789156626506024,0.566007725516928,-0.49718979001045227,-6.397536622027779,1.5790361651035473e-10,1992,4401,2.5357463121956967e-09
club cell,SERPINE1,0.03387998044490814,0.006810985971242189,0.05063291139240506,0.022388059701492536,2.334089517593384,0.5013186949381949,0.6161468502381666,395,134,1.0
conventional dendritic cell,SERPINE1,0.1188790574669838,0.15178228914737701,0.1784452296819788,0.19749403341288782,-0.3767785429954529,-0.959337108563555,0.33738894684491516,1132,1676,0.8856459854679023
endothelial cell,SERPINE1,0.4813380837440491,0.5645315647125244,0.3507692307692308,0.3594548551959114,-0.29522162675857544,-0.7350723385380759,0.46229543966205233,325,587,1.0
endothelial cell of lymphatic vessel,SERPINE1,0.13938726484775543,0.15863093733787537,0.10236220472440945,0.10218978102189781,-0.20080140233039856,-0.03145865519803235,0.9749037641844867,127,137,1.0
fibroblast,SERPINE1,0.6484367847442627,0.4689750373363495,0.30229419703103916,0.2542744410346339,0.6088998913764954,2.407704830209376,0.01605315418459264,741,2281,0.07688615951568054
leukocyte,SERPINE1,0.10319669544696808,0.1651296317577362,0.12972972972972974,0.20418848167539266,-0.7238759994506836,-1.2561495460373715,0.20906175544333505,185,191,0.6271852663300052
lung multiciliated epithelial cell,SERPINE1,0.04186130315065384,0.07060903310775757,0.027901785714285716,0.036053130929791274,-0.7751668691635132,-0.3196631100537175,0.7492237274619759,896,1054,1.0
macrophage,SERPINE1,0.06327783316373825,0.16411598026752472,0.12637362637362637,0.3056405771753389,-1.4490610361099243,-10.286240426252029,8.128855616201064e-25,2002,2287,2.773971979028613e-23
mast cell,SERPINE1,0.033557064831256866,0.033359985798597336,0.03101424979044426,0.03360655737704918,0.008640793152153492,-0.10957793831870812,0.9127441079487015,1193,1220,1.0
monocyte,SERPINE1,0.03331277146935463,0.02895655855536461,0.04339853300733496,0.03912800447177194,0.20534388720989227,0.21830510658597788,0.827191395932215,1636,1789,1.0
natural killer cell,SERPINE1,0.016466643661260605,0.013663219287991524,0.01567055393586006,0.01285437577038211,0.2712765038013458,0.2113364110964374,0.8326247725445574,2744,5679,1.0
neutrophil,SERPINE1,0.0,0.021727560088038445,0.0,0.011204481792717087,-24.38872528076172,-0.2055290350048232,0.837158815620375,164,357,1.0
plasma cell,SERPINE1,0.021194828674197197,0.025834092870354652,0.027932960893854747,0.03349282296650718,-0.2889235317707062,-0.09126037007501746,0.9272857066388178,179,209,1.0
pulmonary alveolar type 1 cell,SERPINE1,0.010730794630944729,0.01813230849802494,0.0228310502283105,0.01791044776119403,-0.7621575593948364,0.09201727608961124,0.9266843134906386,219,335,1.0
pulmonary alveolar type 2 cell,SERPINE1,0.0037490639369934797,0.023434333503246307,0.008254716981132075,0.031635802469135804,-2.6582531929016113,-0.916132907010743,0.3595971900843924,848,1296,0.9006425036058635
smooth muscle cell,SERPINE1,0.33319711685180664,0.3677586019039154,0.1873589164785553,0.21411483253588517,-0.16876737773418427,-0.6672814662712698,0.5045923625889436,443,836,1.0
vein endothelial cell,SERPINE1,0.6343418955802917,0.6914610266685486,0.3835946924004825,0.4131534569983137,-0.17010928690433502,-1.365963052814481,0.17195056037741285,829,1186,0.5395689998049852
B cell,SOCS3,0.19983349740505219,0.1814957708120346,0.19420289855072465,0.17166212534059946,0.15251044929027557,0.5102419730099417,0.6098819498958798,345,367,1.0
"CD4-positive, alpha-beta T cell",SOCS3,0.6500569581985474,0.6661282777786255,0.45450203009314544,0.4641961549178044,-0.04808942973613739,-1.1330255385713384,0.2572035287200589,4187,7178,0.7238820962945988
"CD8-positive, alpha-beta T cell",SOCS3,0.3285713195800781,0.2849351763725281,0.22706571242680545,0.19161215852250865,0.23865635693073273,1.7364945714640585,0.08247642339896608,1537,2599,0.28892704879250247
capillary endothelial cell,SOCS3,1.2687395811080933,1.299368977546692,0.5582329317269076,0.5821404226312201,-0.06111301854252815,-0.8962790072106893,0.37010376815315293,1992,4401,0.9185302609619159
club cell,SOCS3,0.3376029133796692,0.3989555835723877,0.3670886075949367,0.44776119402985076,-0.28786778450012207,-1.1759569647734827,0.23961207357383552,395,134,0.6923321183074193
conventional dendritic cell,SOCS3,0.8307026028633118,0.7525700926780701,0.7553003533568905,0.7261336515513126,0.2062263786792755,3.0785434828252343,0.0020801517060778305,1132,1676,0.012619587016872172
endothelial cell,SOCS3,1.8775185346603394,1.817265510559082,0.8307692307692308,0.807495741056218,0.10319927334785461,0.7334974647543843,0.463255073556763,325,587,1.0
endothelial cell of lymphatic vessel,SOCS3,1.2089099884033203,1.274153232574463,0.6299212598425197,0.6642335766423357,-0.13239188492298126,-0.4218686325274595,0.6731209066043442,127,137,1.0
fibroblast,SOCS3,0.8754209280014038,0.9736533761024475,0.45479082321187586,0.498903989478299,-0.2350570559501648,-1.9105349242441372,0.05606437414862822,741,2281,0.22508197268493388
leukocyte,SOCS3,0.3236846923828125,0.2982093095779419,0.41621621621621624,0.4083769633507853,0.13759127259254456,0.01660945754110616,0.9867481795730697,185,191,1.0
lung multiciliated epithelial cell,SOCS3,0.5224204659461975,0.21881403028964996,0.36049107142857145,0.17077798861480076,1.4880037307739258,7.538150035150862,4.7668524600856294e-14,896,1054,1.0010390166179821e-12
macrophage,SOCS3,0.37766212224960327,0.3815964460372925,0.5589410589410589,0.6152164407520769,-0.01796891540288925,-2.2304430148165713,0.025718046603861042,2002,2287,0.12105218487679421
mast cell,SOCS3,0.3410564661026001,0.39815670251846313,0.25565800502933783,0.29918032786885246,-0.2670464515686035,-1.8296301413033573,0.06730526346360896,1193,1220,0.2556131019591658
monocyte,SOCS3,1.1490651369094849,1.1266441345214844,0.7860635696821516,0.7713806595863612,0.04760505631566048,1.013775635607651,0.31068982369070075,1636,1789,0.8397853650253594
natural killer cell,SOCS3,0.15311720967292786,0.11388467997312546,0.135932944606414,0.1109350237717908,0.45599278807640076,1.9708286777113115,0.04874347530510268,2744,5679,0.20472259628143127
neutrophil,SOCS3,0.49244874715805054,0.5969536304473877,0.25,0.2689075630252101,-0.35983937978744507,-0.6664028314866752,0.5051536531611336,164,357,1.0
plasma cell,SOCS3,0.5880236625671387,0.6164392232894897,0.6033519553072626,0.583732057416268,-0.09062701463699341,-0.02270158459577549,0.9818883118377653,179,209,1.0
pulmonary alveolar type 1 cell,SOCS3,0.439487487077713,0.38203078508377075,0.3059360730593607,0.2537313432835821,0.2464086413383484,0.9323874435628751,0.3511363315565944,219,335,0.9006425036058635
pulmonary alveolar type 2 cell,SOCS3,1.1181790828704834,1.0033714771270752,0.8007075471698113,0.7623456790123457,0.2534851133823395,3.1093082113257413,0.0018752598660996378,848,1296,0.011635135078300024
smooth muscle cell,SOCS3,0.5930629968643188,0.6651116609573364,0.3182844243792325,0.40311004784689,-0.22279676795005798,-1.8759137167552236,0.06066712881883925,443,836,0.2366018023934731
vein endothelial cell,SOCS3,2.0504798889160156,2.214226245880127,0.856453558504222,0.8853288364249579,-0.26806211471557617,-2.972587079247212,0.0029530143055437386,829,1186,0.01715261500879661
B cell,SPP1,0.0,0.01130789052695036,0.0,0.010899182561307902,-23.43899154663086,-0.25156624607135386,0.8013763513970328,345,367,1.0
"CD4-positive, alpha-beta T cell",SPP1,0.00446998979896307,0.002404287690296769,0.0038213518032003822,0.0023683477291724713,0.8961528539657593,0.1296586526845358,0.8968364967206675,4187,7178,1.0
"CD8-positive, alpha-beta T cell",SPP1,0.00463944673538208,0.00250566890463233,0.002602472348731295,0.001923816852635629,0.8902967572212219,0.03671506488240931,0.9707121967027911,1537,2599,1.0
capillary endothelial cell,SPP1,0.022755252197384834,0.0031826873309910297,0.010542168674698794,0.003181095205635083,2.8520312309265137,0.47396015214593257,0.6355283231193863,1992,4401,1.0
club cell,SPP1,0.006619095336645842,0.0,0.010126582278481013,0.0,22.662981033325195,0.17528168329215427,0.8608583035738435,395,134,1.0
conventional dendritic cell,SPP1,0.17564654350280762,0.17241232097148895,0.10865724381625441,0.1026252983293556,0.02921273559331894,0.25970480264966794,0.795091487749045,1132,1676,1.0
endothelial cell,SPP1,0.010440671816468239,0.0023701905738562346,0.012307692307692308,0.0034071550255536627,2.1449670791625977,0.22336959832026515,0.8232478636236026,325,587,1.0
endothelial cell of lymphatic vessel,SPP1,0.009706076234579086,0.0,0.015748031496062992,0.0,23.217464447021484,0.22101721857079137,0.8250790260079301,127,137,1.0
fibroblast,SPP1,0.03888041526079178,0.0035508363507688046,0.012145748987854251,0.0035072336694432268,3.4783873558044434,0.3551040536075923,0.722511639961676,741,2281,1.0
leukocyte,SPP1,0.04386693239212036,0.03505803272128105,0.05405405405405406,0.031413612565445025,0.32978469133377075,0.37395007263976154,0.7084414619229917,185,191,1.0
lung multiciliated epithelial cell,SPP1,0.03247665986418724,0.01336147915571928,0.03459821428571429,0.010436432637571158,1.295164942741394,0.9181941516375084,0.35851722993949386,896,1054,0.9006425036058635
macrophage,SPP1,0.0329434834420681,0.1552421748638153,0.04395604395604396,0.1364232619151727,-2.3260586261749268,-5.3222756623458,1.0247712287217588e-07,2002,2287,1.2163588932219137e-06
mast cell,SPP1,0.005168224219232798,0.0009189982083626091,0.004191114836546521,0.000819672131147541,2.4946000576019287,0.1434156056715252,0.8859619588320127,1193,1220,1.0
monocyte,SPP1,0.015925277024507523,0.01051289401948452,0.01589242053789731,0.012856344326439352,0.6030713319778442,0.15556898253975796,0.8763727755644071,1636,1789,1.0
natural killer cell,SPP1,0.003705100156366825,0.002032764023169875,0.004008746355685131,0.0019369607325233316,0.8672765493392944,0.15406600291386138,0.8775576939301147,2744,5679,1.0
neutrophil,SPP1,0.020858487114310265,0.017527930438518524,0.012195121951219513,0.008403361344537815,0.25338903069496155,0.06767419445280765,0.9460449920480716,164,357,1.0
plasma cell,SPP1,0.005118523724377155,0.0,0.00558659217877095,0.0,22.290990829467773,0.09489262361034154,0.9244001155872144,179,209,1.0
pulmonary alveolar type 1 cell,SPP1,0.0,0.006614717189222574,0.0,0.0029850746268656717,-22.66202163696289,-0.059444788978244435,0.9525978396642616,219,335,1.0
pulmonary alveolar type 2 cell,SPP1,0.0011841080849990249,0.000213750172406435,0.0047169811320754715,0.0007716049382716049,2.4704976081848145,0.15468059206411672,0.8770731311157686,848,1296,1.0
smooth muscle cell,SPP1,0.005093798507004976,0.0024593868292868137,0.004514672686230248,0.0023923444976076554,1.0523443222045898,0.06252780549466119,0.9501425196747655,443,836,1.0
vein endothelial cell,SPP1,0.04099973291158676,0.026845548301935196,0.030156815440289506,0.01854974704890388,0.621199369430542,0.4412506891009041,0.6590315204528586,829,1186,1.0
B cell,THBS1,0.02189731039106846,0.024235541000962257,0.02318840579710145,0.027247956403269755,-0.14806371927261353,-0.09515766699220778,0.9241895941951266,345,367,1.0
"CD4-positive, alpha-beta T cell",THBS1,0.03130776435136795,0.02870538830757141,0.032481490327203245,0.03176372248537197,0.12708531320095062,0.07586536635408933,0.939526211067099,4187,7178,1.0
"CD8-positive, alpha-beta T cell",THBS1,0.0357254296541214,0.03628265857696533,0.028627195836044242,0.02654867256637168,-0.022733092308044434,0.10577980711625523,0.9157570584763197,1537,2599,1.0
capillary endothelial cell,THBS1,0.03243735060095787,0.03393992781639099,0.02710843373493976,0.028402635764598956,-0.0664173886179924,-0.08568109808963469,0.9317199284029792,1992,4401,1.0
club cell,THBS1,0.16005420684814453,0.09483715146780014,0.21012658227848102,0.14925373134328357,0.8030796051025391,1.172686784115047,0.2409214331106404,395,134,0.6923321183074193
conventional dendritic cell,THBS1,0.4155054986476898,0.3455466628074646,0.2941696113074205,0.24761336515513127,0.3196442723274231,2.112325834085505,0.034658511488944596,1132,1676,0.15260925220132057
endothelial cell,THBS1,0.12778840959072113,0.06196301057934761,0.12615384615384614,0.06132879045996593,1.092511534690857,1.63353783213416,0.10235593069513442,325,587,0.34738144542271093
endothelial cell of lymphatic vessel,THBS1,0.11748386174440384,0.07420603930950165,0.11811023622047244,0.06569343065693431,0.6945709586143494,0.7154827477090947,0.47431079756075534,127,137,1.0
fibroblast,THBS1,1.1068115234375,0.916553795337677,0.46558704453441296,0.4620780359491451,0.43211227655410767,1.8289009729234973,0.06741444447274703,741,2281,0.2556131019591658
leukocyte,THBS1,0.5226966738700867,0.18811893463134766,0.43243243243243246,0.18324607329842932,1.7299352884292603,4.391066017938723,1.1279628366731728e-05,185,191,9.93335014231536e-05
lung multiciliated epithelial cell,THBS1,0.11826134473085403,0.039934191852808,0.07700892857142858,0.03510436432637571,1.6235281229019165,1.6184912073030306,0.10555678021003644,896,1054,0.35142684143097497
macrophage,THBS1,1.230270266532898,0.5853398442268372,0.8671328671328671,0.5990380411018802,1.6061735153198242,26.581186419724453,1.1202459925202756e-155,2002,2287,3.0582715595803525e-153
mast cell,THBS1,0.1778080314397812,0.06598209589719772,0.0989103101424979,0.054098360655737705,1.5124777555465698,1.995311984041244,0.046008863660959395,1193,1220,0.19625655905377992
monocyte,THBS1,0.9328135251998901,1.0655728578567505,0.4284841075794621,0.45164896590273895,-0.303422212600708,-2.189658509859133,0.02854901222545152,1636,1789,0.12989800562580442
natural killer cell,THBS1,0.04906773194670677,0.04021945968270302,0.05102040816326531,0.041908786758232085,0.29331108927726746,0.6695761645813293,0.5031280127252881,2744,5679,1.0
neutrophil,THBS1,0.04055966064333916,0.055999819189310074,0.024390243902439025,0.022408963585434174,-0.4766038954257965,0.031330645580003535,0.9750058507603845,164,357,1.0
plasma cell,THBS1,0.014915908686816692,0.03151709586381912,0.0335195530726257,0.05741626794258373,-1.0913043022155762,-0.41316883964311385,0.679482916285162,179,209,1.0
pulmonary alveolar type 1 cell,THBS1,0.11422514915466309,0.039040908217430115,0.1050228310502283,0.041791044776119404,1.6037483215332031,1.2613695633876798,0.20717572895589353,219,335,0.6271852663300052
pulmonary alveolar type 2 cell,THBS1,0.13766157627105713,0.20713497698307037,0.1804245283018868,0.2839506172839506,-0.6409987807273865,-3.9039726183414847,9.462649146841644e-05,848,1296,0.0007380866334536484
smooth muscle cell,THBS1,1.0847290754318237,0.9038623571395874,0.5214446952595937,0.5227272727272727,0.41489720344543457,1.795725386044513,0.0725382024133206,443,836,0.26403905678448697
vein endothelial cell,THBS1,0.29742130637168884,0.22008547186851501,0.25331724969843183,0.18718381112984822,0.49263328313827515,2.5373276267995912,0.011170236196220566,829,1186,0.057537254369211595
