"phenocode","phenotype","category","pval","beta_altC","sebeta","mlogp","maf","n_case","n_control","bonferroni_sig","fdr","rank"
"P16_FET_NEWB_MATERN_COND_UNREL_PRESENT_PREGNAC","Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,133,499887,NA,NA,2261
"P16_FET_NEWB_MATERN_FACTO_COMPLICATIO_PREGNAC_LABOUR_DELIV","Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,461,499887,NA,NA,2262
"P16_FET_NEWB_OTH_COMPLICATIO_LABOUR_DELIV","Fetus and newborn affected by other complications of labour and delivery","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,79,499887,NA,NA,2263
"P16_INFECTIONS_SPECIFIC_PERINA_PERIOD","Infections specific to the perinatal period","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,415,499933,NA,NA,2264
"P16_INTERSTITIAL_EMPHY_RELATED_COND_ORIGINA_PERINA_PERIOD","Interstitial emphysema and related conditions originating in the perinatal period","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,52,499476,NA,NA,2265
"P16_NEONTAL_JAUND_OTH_UNSP_CAUSES","Neonatal jaundice from other and unspecified causes","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,499,499688,NA,NA,2266
"P16_OTH_DISORD_ORIGINA_PERINA_PERIOD","Other disorders originating in the perinatal period","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,346,500002,NA,NA,2267
"P16_OTH_INFECTIONS_SPECIFIC_PERINA_PERIOD","Other infections specific to the perinatal period","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,201,499933,NA,NA,2268
"P16_OTH_PERINA_HAEMATOL_DISORD","Other perinatal haematological disorders","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,55,499688,NA,NA,2269
"P16_RESPI_CARDIOV_DISORD_SPECIFIC_PERINA_PERIOD","Respiratory and cardiovascular disorders specific to the perinatal period","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,872,499476,NA,NA,2270
"P16_RESPI_DISTR_NEWBO","Respiratory distress of newborn","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,498,499476,NA,NA,2271
"P16_SLOW_FETAL_GROWTH_FETAL_MALNUTRITION","Slow fetal growth and fetal malnutrition","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,200,499424,NA,NA,2272
"P16_TRANSITO_DISORD_CARBOH_METABOLISM_SPECIFIC_FETUS_NEWBO","Transitory disorders of carbohydrate metabolism specific to fetus and newborn","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,471,499865,NA,NA,2273
"PAIN","Pain (limb, back, neck, head abdominally)","Miscellaneous, not yet classified endpoints",NA,NA,NA,NA,NA,237944,261418,NA,NA,2274
"PD2ND_EXMORE","Secondary parkinsonism (more control exclusions)","Neurological endpoints",NA,NA,NA,NA,NA,946,216760,NA,NA,2275
"PD_DEMENTIA_EXMORE","Dementia due to Parkinson's disease (more control exclusions)","Neurological endpoints",NA,NA,NA,NA,NA,755,216760,NA,NA,2276
"PHANTOMLIMB","Phantom limb syndrome with pain","VI Diseases of the nervous system (G6_)",NA,NA,NA,NA,NA,91,262404,NA,NA,2277
"PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE","Phlebitis and thrombophlebitis of lower extremities, unspecified, drug-induced","IX Diseases of the circulatory system (I9_)",NA,NA,NA,NA,NA,306,500042,NA,NA,2278
"PHLEBI_THROMBOP_OTHER_DEEP_VESSE_LOWER_EXTREMITI","Phlebitis and thrombophlebitis of other deep vessels of lower extremities, drug-induced","IX Diseases of the circulatory system (I9_)",NA,NA,NA,NA,NA,112,500236,NA,NA,2279
"PHLEBI_THROMBOP_SUPERF_VESSE_LOWER_EXTREMITI","Phlebitis and thrombophlebitis of superficial vessels of lower extremities, drug-induced","IX Diseases of the circulatory system (I9_)",NA,NA,NA,NA,NA,101,500247,NA,NA,2280
"PNEUMO_SEPTHICHE","Pneumococcal septicemia","Asthma and related endpoints",NA,NA,NA,NA,NA,1167,499120,NA,NA,2281
"POLLENALLERG","Pollen allergy","Comorbidities of Asthma",NA,NA,NA,NA,NA,8776,487439,NA,NA,2282
"POLYCYTVERA","Polycythaemia vera","Other, not yet classified endpoints (same as #MISC)",NA,NA,NA,NA,NA,1205,378022,NA,NA,2283
"PRIM_COXARTHROSIS","Primary coxarthrosis, bilateral","Rheuma endpoints",NA,NA,NA,NA,NA,11863,469546,NA,NA,2284
"PRIM_KNEEARTHROSIS","Primary gonarthrosis, bilateral","Rheuma endpoints",NA,NA,NA,NA,NA,23582,438992,NA,NA,2285
"PSORI_STRICT","Psoriasis (vulgaris), strict definition","XII Diseases of the skin and subcutaneous tissue (L12_)",NA,NA,NA,NA,NA,1147,482181,NA,NA,2286
"Q17_ANKYLOGLOSSIA","Ankyloglossia","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,594,499754,NA,NA,2287
"Q17_APVR","Abnormal pulmonary venous return","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,87,500261,NA,NA,2288
"Q17_ASD","Atrial septal defect","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,1409,494430,NA,NA,2289
"Q17_AVSD","Atrioventricular septal defect","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,137,500211,NA,NA,2290
"Q17_BICUSP_AORTIC_VALVE","Bicuspidal aortic valve syndrome","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,1261,494430,NA,NA,2291
"Q17_CHROMOSOMAL_ABNORMALITI_NOT_ELSEW_CLASSIFIED","Chromosomal abnormalities, not elsewhere classified","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,646,499702,NA,NA,2292
"Q17_CLEFT_AND_CARIES","Caries in Clefts patients","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,359,499989,NA,NA,2293
"Q17_CLEFT_HARD_PALATE_NOS","Cleft hard palate NOS","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,176,499451,NA,NA,2294
"Q17_CLEFT_LIP","Cleft lip","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,110,499746,NA,NA,2295
"Q17_CLEFT_LIP_CLEFT_PALATE","Cleft lip, lip and palate or palate","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,600,499748,NA,NA,2296
"Q17_CLEFT_LIP_OR_LIP_AND_PALATE","Cleft lip and cleft lip and palate","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,270,499357,NA,NA,2297
"Q17_CLEFT_PALATE","Cleft palate","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,388,499748,NA,NA,2298
"Q17_COMPLEX_CARD_DEFEC","Complex cardiac defects","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,205,500143,NA,NA,2299
"Q17_CONGEN_ABSENCE_ATRES_STENO_LARGE_INTESTINE","Congenital absence, atresia and stenosis of large intestine","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,50,498691,NA,NA,2300
"Q17_CONGEN_DEFORMITI_FEET","Congenital deformities of feet","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,937,496702,NA,NA,2301
"Q17_CONGEN_DEFORMITI_HIP","Congenital deformities of hip","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,671,496702,NA,NA,2302
"Q17_CONGEN_HYDROCEPHALUS","Congenital hydrocephalus","Neurological endpoints",NA,NA,NA,NA,NA,143,499525,NA,NA,2303
"Q17_CONGEN_ICHTHYOSIS","Congenital ichthyosis","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,110,496855,NA,NA,2304
"Q17_CONGEN_MALFO_ANTER_SEGMENT_EYE","Congenital malformations of anterior segment of eye","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,280,497731,NA,NA,2305
"Q17_CONGEN_MALFO_BREAST","Congenital malformations of breast","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,620,496855,NA,NA,2306
"Q17_CONGEN_MALFO_CARDIAC_CHAMB_CONNECTIO","Congenital malformations of cardiac chambers and connections","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,214,494430,NA,NA,2307
"Q17_CONGEN_MALFO_CIRCULATO_SYSTEM","Congenital malformations of the circulatory system","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,5918,494430,NA,NA,2308
"Q17_CONGEN_MALFO_EAR_CAUSI_IMPAIRM_HEARING","Congenital malformations of ear causing impairment of hearing","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,128,497731,NA,NA,2309
"Q17_CONGEN_MALFO_EYELID_LACRIMAL_APPARA_ORBIT","Congenital malformations of eyelid, lacrimal apparatus and orbit","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",NA,NA,NA,NA,NA,320,497731,NA,NA,2310
