location_name,ASPR_2021,cases_2021,rank
Benin,36.22430220766,1813.7022434540056,62
Turkey,36.19799022868,32172.28626427776,63
Togo,35.97824133928,1230.8087823044823,64
Ireland,35.76167781856,2981.8586643551994,65
Gambia,35.15785570912,336.2344106153399,66
Western Africa,34.81426229762,58137.46462361432,67
Cameroon,33.56335926252,3994.0362879052327,68
Nigeria,33.47795872602,29354.66053414455,69
Djibouti,33.37470586848,179.53798639609832,70
Guinea-Bissau,33.29699332175,219.58900939017897,71
Taiwan (Province of China),33.28695434892,14686.092206239258,72
Spain,33.12337193426,38048.463213576506,73
Liberia,33.10341441063,682.1333917472102,74
Côte d'Ivoire,32.42718783492,3352.674095262564,75
Samoa,31.767716787900003,37.272226680645886,76
Mexico,31.74613734564,36255.42566732063,77
Viet Nam,31.30411186319,25773.5998479408,78
Andorra,31.052584003160003,49.54961979287487,79
Brazil,30.89007463846,73794.85261732685,80
Angola,30.883308852600003,3048.9358044960527,81
New Zealand,30.43816106599,2767.9899578675168,82
Vanuatu,29.80138662848,35.49549400854779,83
American Samoa,29.74666879364,10.98498905277987,84
Luxembourg,29.454563596230003,323.2538160067245,85
Costa Rica,28.82345211548,1593.121739579554,86
Mauritania,28.77319523071,598.3207663635457,87
Belgium,28.09453785359,6999.012396625592,88
Senegal,27.75756634268,2058.301887086216,89
Congo,27.56248319619,612.7749760070196,90
Equatorial Guinea,27.35492203343,127.0306504938023,91
Honduras,26.645158995720003,1457.3534310884245,92
Puerto Rico,26.64242803108,2296.023698324309,93
Marshall Islands,26.30041003753,5.380639228495839,94
Cabo Verde,26.191395846280003,113.71854051518824,95
Indonesia,26.11190210723,45860.01184243192,96
Germany,25.89898972049,52333.929410124365,97
Lebanon,25.82618341796,1641.0622103388291,98
Solomon Islands,25.77962200051,59.3206016748051,99
Cuba,25.182394382290003,5061.088509876355,100
Advanced Health System,25.16868049387,784127.5848005943,101
Gabon,25.160046244000004,222.17282117678224,102
Uruguay,25.01181825015,1471.9067828383509,103
Ghana,24.98671713181,3721.527441921516,104
Panama,24.92998024786,1126.8966122908032,105
Malaysia,24.87817514649,5935.591712445228,106
United Kingdom,24.83558977348,36173.463974360086,107
Portugal,24.6844796999,7264.51518725523,108
Sao Tome and Principe,24.6441122442,25.89371699415816,109
Timor-Leste,24.57801227006,179.47623734593722,110
Micronesia (Federated States of),24.19571465198,11.517023801813538,111
Cambodia,23.69153529192,2156.838873995915,112
Tokelau,23.66957319998,0.3541851343290508,113
Lao People's Democratic Republic,23.58747827966,827.3760135644675,114
Bahrain,22.77001731456,167.37880049021177,115
Nicaragua,21.57401953091,938.6871451494954,116
Tuvalu,21.56470940369,1.782675767381119,117
Bolivia (Plurinational State of),21.49870436201,1600.3657750222787,118
El Salvador,21.45864881586,1453.4076386024146,119
Israel,21.42837009777,2839.825647897459,120
Niue,21.3170048618,0.4251927544631407,121
Austria,21.24484513614,4077.772996543209,122
United Arab Emirates,20.50130390126,904.586552978672,123
Nauru,20.33463115213,0.7702964218773748,124
Guatemala,20.28199057525,2046.132445794686,125
Czechia,20.135938717010003,4675.473153829075,126
Italy,19.5282798332,33315.7186215906,127
Peru,18.71033177843,6201.61965278499,128
Belize,18.45889813562,47.223715971368506,129
Republic of Korea,18.44803024906,16973.702894200618,130
Saint Lucia,18.09658416263,41.82271428917246,131
Kazakhstan,17.93333797887,2794.697048813605,132
Chile,17.778885817869998,4620.455278272734,133
Philippines,17.66021891842,11344.434816714149,134
Switzerland,16.98855587507,3244.2707294848988,135
Argentina,16.69725190071,9620.14023883345,136
Paraguay,16.49698192048,887.7711790035235,137
Poland,16.45054562983,12593.034043621674,138
Monaco,16.42974437611,18.231913556092792,139
Haiti,16.23697754461,847.6170976117602,140
Ecuador,15.93183814237,2442.746820823575,141
Cyprus,15.89323844777,333.7388169928273,142
Fiji,15.77618809268,83.94667572723642,143
Guam,15.72606264368,34.641727566357154,144
Iran (Islamic Republic of),15.50575181193,11144.714109516071,145
Venezuela (Bolivarian Republic of),15.31972472526,4262.831717734429,146
Iceland,15.00932976501,90.62163567819152,147
San Marino,14.49253537649,12.72120130980255,148
Hungary,14.14919418398,2898.7302560960934,149
Jamaica,14.02104566176,446.6657777206371,150
Suriname,13.89860676365,80.4244610271984,151
Bermuda,13.84885267571,20.496844140254925,152
Kyrgyzstan,13.51322208567,546.685485339422,153
Qatar,13.20833401686,124.6504288428662,154
Afghanistan,13.20661921598,1231.0748118474792,155
Slovenia,13.03359270226,615.6900818839999,156
Finland,12.96640849517,1863.3563980221927,157
Cook Islands,12.78001733675,3.1531628894324224,158
Libya,11.91760204633,565.9583194629488,159
Tajikistan,11.68308627684,600.9667594553486,160
Malta,11.57620286713,127.59810372404831,161
Yemen,11.47427090223,1580.9530359410733,162
Syrian Arab Republic,11.47184475764,1311.1693734469145,163
Saudi Arabia,11.32739390974,1816.216996083671,164
Tunisia,11.30036171344,1383.788940949299,165
Algeria,11.18163840186,3574.0973659861907,166
Mauritius,11.16043245892,185.54109156506803,167
Dominican Republic,11.04870306658,1061.0468422188546,168
Seychelles,10.97911015767,10.791092775744252,169
Sudan,10.58872582612,2041.3476152970848,170
Saint Kitts and Nevis,10.26337698525,5.731211137077552,171
Albania,10.0780166143,447.67690392055,172
Armenia,9.98960374188,426.0066935542549,173
Brunei Darussalam,9.93711684561,23.8618878502396,174
Trinidad and Tobago,9.84743887237,185.94083445349983,175
Northern Africa,9.84342388269,13068.49474882853,176
Jordan,9.84093418531,667.9080993374862,177
Mongolia,9.7945013317,167.02083336643304,178
Morocco,9.7665794572,3029.100148663348,179
Bosnia and Herzegovina,9.56395545919,612.6298436929852,180
Croatia,9.16904024063,882.428116598247,181
Palestine,9.1025705232,214.7833666665805,182
Barbados,9.03017869106,47.89477575539837,183
Dominica,8.775641073780001,6.872461872049477,184
Greece,8.06420473223,2292.2262326573937,185
Grenada,7.99203518196,8.190917684259666,186
Egypt,7.920204418229999,3917.229207403207,187
Japan,7.86304106127,40365.81264787909,188
Singapore,7.86136150074,643.0214421770659,189
Ukraine,7.84313805712,6272.164371966941,190
Russian Federation,7.69690979047,18718.67811327344,191
United States Virgin Islands,7.6513021085,15.010648319479396,192
North Macedonia,7.50617560349,239.5700358779605,193
Serbia,7.33953551516,1262.0631192001729,194
Slovakia,6.892338233199999,672.389218479196,195
Romania,6.88241526784,2604.174146580004,196
Oman,6.73894465948,121.73977307328974,197
Saint Vincent and the Grenadines,6.35838496624,8.61929380014949,198
Lithuania,5.93345629382,359.38709630701464,199
Azerbaijan,5.80640525873,477.1587716995185,200
